define model
load data
indexing miniworld (mode train ): 23 towns found ( ['potsdam/train', 'austin/train', 'chicago/train', 'kitsap/train', 'tyrol-w/train', 'vienna/train', 'christchurch/train', 'vegas/train', 'paris/train', 'shanghai/train', 'khartoum/train', 'toulouse/train', 'bruges/train', 'rio/train', 'Arlington/train', 'Austin/train', 'DC/train', 'NewYork/train', 'SanFrancisco/train', 'Atlanta/train', 'NewHaven/train', 'Norfolk/train', 'Seekonk/train'] ) with a total of 12434 images
train
epoch= 0 / 200
loss= 0.7313628315925598
loss= 0.5117002544370858
loss= 0.4767971408994574
loss= 0.445135434548701
loss= 0.3716408571600914
loss= 0.36956236869096754
loss= 0.3204211021959782
loss= 0.2859399627149105
loss= 0.2846160146594048
loss= 0.28191675543785094
loss= 0.2802192658931017
loss= 0.2775705519318581
loss= 0.2769908433407545
loss= 0.27628345020115375
loss= 0.2754830161482096
loss= 0.27407620452344417
loss= 0.2560028939694166
loss= 0.2563000337779522
loss= 0.256188845038414
loss= 0.25617797501385214
loss= 0.2578943368792534
loss= 0.25361687362194063
loss= 0.25048069961369035
loss= 0.2416234377026558
loss= 0.24102491684257984
loss= 0.24074972972273825
backup model
accuracy 87.11930573965256
epoch= 1 / 200
loss= 0.23889415174722672
loss= 0.23876089207828044
loss= 0.23757425822317602
loss= 0.23432142250239849
loss= 0.22765555046498775
loss= 0.22758634351193904
loss= 0.22655144080519676
loss= 0.22617801927030087
loss= 0.2175814601778984
loss= 0.21599751606583595
loss= 0.2148677459359169
loss= 0.21418628603219986
loss= 0.21516971819102765
loss= 0.22045563749969005
loss= 0.21973973892629148
loss= 0.2135139325633645
loss= 0.2006843364611268
loss= 0.1984159879758954
loss= 0.1968378723040223
loss= 0.19195843193680048
loss= 0.19565208282321692
loss= 0.20023388251662255
loss= 0.20383254647254945
loss= 0.20162202201783658
loss= 0.2023309761285782
loss= 0.19741689428687095
loss= 0.19582194678485393
backup model
accuracy 84.61456736270605
epoch= 2 / 200
loss= 0.1905750524997711
loss= 0.18779219303280115
loss= 0.1861349667236209
loss= 0.1804948928579688
loss= 0.18207617361098527
loss= 0.18034899476915597
loss= 0.18187840282917023
loss= 0.18466451682150364
loss= 0.18721441090106963
loss= 0.18890162818133832
loss= 0.1897096783667803
loss= 0.1816401456296444
loss= 0.18147673040628434
loss= 0.18155410408973693
loss= 0.18102800406515598
loss= 0.18324434973299503
loss= 0.1849317755550146
backup model
accuracy 90.17223589799974
epoch= 3 / 200
loss= 0.1867301142960787
loss= 0.18789136663079262
loss= 0.18771917007863523
loss= 0.18658402673900126
loss= 0.1865211107581854
loss= 0.18588420774787665
loss= 0.18102184612303973
loss= 0.18175971608608962
loss= 0.1811938701942563
loss= 0.1802435088530183
loss= 0.17447089366614818
loss= 0.17481930144131183
loss= 0.1744556313380599
loss= 0.17303865764290094
loss= 0.17454546939581633
loss= 0.1740365769341588
loss= 0.17754482209682465
loss= 0.17825015977025033
loss= 0.17905342809855937
loss= 0.18023451998829843
loss= 0.1813223832845688
loss= 0.1817153386026621
loss= 0.18125260047614575
loss= 0.1796346329897642
loss= 0.1822201757878065
loss= 0.1812700267881155
loss= 0.18047081425786018
backup model
accuracy 91.89721157937923
epoch= 4 / 200
loss= 0.17952243059873582
loss= 0.1808551059663296
loss= 0.1815638756752014
loss= 0.18234495483338833
loss= 0.1825100802630186
loss= 0.18005628757178782
loss= 0.17995763391256334
loss= 0.17784735128283502
loss= 0.1754011644423008
loss= 0.1756063774228096
loss= 0.17496576316654683
loss= 0.1748010740429163
loss= 0.17511324509978293
loss= 0.17662811934947967
loss= 0.1772479399293661
loss= 0.17732987992465496
loss= 0.174428919441998
loss= 0.1748348056897521
loss= 0.1765183898434043
loss= 0.17886006381362676
loss= 0.1785474294796586
loss= 0.17182890959084035
loss= 0.1683131219446659
loss= 0.16762477852404117
loss= 0.16871040064841508
loss= 0.15941654309630393
loss= 0.15946431435644626
backup model
accuracy 89.55018950962666
epoch= 5 / 200
loss= 0.15884222254157065
loss= 0.15880711160600186
loss= 0.16146891884505749
loss= 0.16192949168384074
loss= 0.16319078728556632
loss= 0.16829788777977228
loss= 0.16971258219331503
loss= 0.17240604057908057
loss= 0.16836779922246933
loss= 0.17009865231812
loss= 0.16912727653980256
loss= 0.16539558559656142
loss= 0.16605485506355763
loss= 0.17274767220020293
loss= 0.17571662068367006
loss= 0.17091741748154163
loss= 0.16950715735554694
loss= 0.1666073127090931
loss= 0.16561137206852436
loss= 0.16464050456881524
loss= 0.16477501779794693
loss= 0.1653319264575839
loss= 0.16548741109669207
backup model
accuracy 90.67827572199961
epoch= 6 / 200
loss= 0.1681933844834566
loss= 0.1690022561699152
loss= 0.170725424811244
loss= 0.17195662580430507
loss= 0.1716251078993082
loss= 0.17044681157916786
loss= 0.17153407003730536
loss= 0.17172705810517072
loss= 0.16999566540122032
loss= 0.166016925573349
loss= 0.16503684882074596
